effectv:  shagadelictv: ShagadelicTV
effectv:  streaktv: StreakTV effect
effectv:  vertigotv: VertigoTV effect
effectv:  warptv: WarpTV effect
encoding:  encodebin: Encoder Bin
encoding:  encodebin2: Encoder Bin
equalizer:  equalizer-10bands: 10 Band Equalizer
equalizer:  equalizer-3bands: 3 Band Equalizer
equalizer:  equalizer-nbands: N Band Equalizer
fieldanalysis:  fieldanalysis: Video field analysis
flac:  flacdec: FLAC audio decoder
flac:  flacenc: FLAC audio encoder
flac:  flactag: FLAC tagger
flv:  flvdemux: FLV Demuxer
flv:  flvmux: FLV muxer
flxdec:  flxdec: FLX video decoder
freeverb:  freeverb: Reverberation/room effect
gaudieffects:  burn: Burn
gaudieffects:  chromium: Chromium
gaudieffects:  dilate: Dilate
gaudieffects:  dodge: Dodge
gaudieffects:  exclusion: Exclusion
gaudieffects:  gaussianblur: GstGaussianBlur
gaudieffects:  solarize: Solarize
gdkpixbuf:  gdkpixbufdec: GdkPixbuf image decoder
gdkpixbuf:  gdkpixbufoverlay: GdkPixbuf Overlay
gdkpixbuf:  gdkpixbufsink: GdkPixbuf sink
gdp:  gdpdepay: GDP Depayloader
gdp:  gdppay: GDP Payloader
geometrictransform:  bulge: bulge
geometrictransform:  circle: circle
geometrictransform:  diffuse: diffuse
geometrictransform:  fisheye: fisheye
geometrictransform:  kaleidoscope: kaleidoscope
geometrictransform:  marble: marble
geometrictransform:  mirror: mirror
geometrictransform:  perspective: perspective
geometrictransform:  pinch: pinch
geometrictransform:  rotate: rotate
geometrictransform:  sphere: sphere
geometrictransform:  square: square
geometrictransform:  stretch: stretch
geometrictransform:  tunnel: tunnel
geometrictransform:  twirl: twirl
geometrictransform:  waterripple: waterripple
ges:  gesdemux: GStreamer Editing Services based 'demuxer'
ges:  gessrc: GStreamer Editing Services based 'source'
gio:  giosink: GIO sink
gio:  giosrc: GIO source
gio:  giostreamsink: GIO stream sink
gio:  giostreamsrc: GIO stream source
goom:  goom: GOOM: what a GOOM!
goom2k1:  goom2k1: GOOM: what a GOOM! 2k1 edition
hls:  hlsdemux: HLS Demuxer
hls:  hlssink: HTTP Live Streaming sink
hls:  hlssink2: HTTP Live Streaming sink
icydemux:  icydemux: ICY tag demuxer
id3demux:  id3demux: ID3 tag demuxer
id3tag:  id3mux: ID3 v1 and v2 Muxer
imagefreeze:  imagefreeze: Still frame stream generator
inter:  interaudiosink: Internal audio sink
inter:  interaudiosrc: Internal audio source
inter:  intersubsink: Internal subtitle sink
inter:  intersubsrc: Internal subtitle source
inter:  intervideosink: Internal video sink
inter:  intervideosrc: Internal video source
interlace:  interlace: Interlace filter
interleave:  deinterleave: Audio deinterleaver
interleave:  interleave: Audio interleaver
ipcpipeline:  ipcpipelinesink: Inter-process Pipeline Sink
ipcpipeline:  ipcpipelinesrc: Inter-process Pipeline Source
ipcpipeline:  ipcslavepipeline: Inter-process slave pipeline
isomp4:  3gppmux: 3GPP Muxer
isomp4:  ismlmux: ISML Muxer
isomp4:  mj2mux: MJ2 Muxer
isomp4:  mp4mux: MP4 Muxer
isomp4:  qtdemux: QuickTime demuxer
isomp4:  qtmoovrecover: QT Moov Recover
isomp4:  qtmux: QuickTime Muxer
isomp4:  rtpxqtdepay: RTP packet depayloader
ivtc:  combdetect: Comb Detect
ivtc:  ivtc: Inverse Telecine
jpeg:  jpegdec: JPEG image decoder
jpeg:  jpegenc: JPEG image encoder
jpegformat:  jifmux: JPEG stream muxer
jpegformat:  jpegparse: JPEG stream parser
kate:  katedec: Kate stream text decoder
kate:  kateenc: Kate stream encoder
kate:  kateparse: Kate stream parser
kate:  katetag: Kate stream tagger
lame:  lamemp3enc: L.A.M.E. mp3 encoder
legacyrawparse:  audioparse: Audio Parse
legacyrawparse:  videoparse: Video Parse
level:  level: Level
libav:  avdec_4xm: libav 4X Movie decoder
libav:  avdec_8bps: libav QuickTime 8BPS video decoder
libav:  avdec_8svx_exp: libav 8SVX exponential decoder
libav:  avdec_8svx_fib: libav 8SVX fibonacci decoder
libav:  avdec_aac: libav AAC (Advanced Audio Coding) decoder
libav:  avdec_aac_fixed: libav AAC (Advanced Audio Coding) decoder
libav:  avdec_aac_latm: libav AAC LATM (Advanced Audio Coding LATM syntax) decoder
libav:  avdec_aasc: libav Autodesk RLE decoder
libav:  avdec_ac3: libav ATSC A/52A (AC-3) decoder
libav:  avdec_ac3_fixed: libav ATSC A/52A (AC-3) decoder
libav:  avdec_acelp_kelvin: libav Sipro ACELP.KELVIN decoder
libav:  avdec_adpcm_4xm: libav ADPCM 4X Movie decoder
libav:  avdec_adpcm_adx: libav SEGA CRI ADX ADPCM decoder
libav:  avdec_adpcm_afc: libav ADPCM Nintendo Gamecube AFC decoder
libav:  avdec_adpcm_agm: libav ADPCM AmuseGraphics Movie decoder
libav:  avdec_adpcm_aica: libav ADPCM Yamaha AICA decoder
libav:  avdec_adpcm_argo: libav ADPCM Argonaut Games decoder
libav:  avdec_adpcm_ct: libav ADPCM Creative Technology decoder
libav:  avdec_adpcm_dtk: libav ADPCM Nintendo Gamecube DTK decoder
libav:  avdec_adpcm_ea: libav ADPCM Electronic Arts decoder
libav:  avdec_adpcm_ea_maxis_xa: libav ADPCM Electronic Arts Maxis CDROM XA decoder
libav:  avdec_adpcm_ea_r1: libav ADPCM Electronic Arts R1 decoder
libav:  avdec_adpcm_ea_r2: libav ADPCM Electronic Arts R2 decoder
libav:  avdec_adpcm_ea_r3: libav ADPCM Electronic Arts R3 decoder
libav:  avdec_adpcm_ea_xas: libav ADPCM Electronic Arts XAS decoder
libav:  avdec_adpcm_ima_alp: libav ADPCM IMA High Voltage Software ALP decoder
libav:  avdec_adpcm_ima_amv: libav ADPCM IMA AMV decoder
libav:  avdec_adpcm_ima_apc: libav ADPCM IMA CRYO APC decoder
libav:  avdec_adpcm_ima_apm: libav ADPCM IMA Ubisoft APM decoder
libav:  avdec_adpcm_ima_cunning: libav ADPCM IMA Cunning Developments decoder
libav:  avdec_adpcm_ima_dat4: libav ADPCM IMA Eurocom DAT4 decoder
libav:  avdec_adpcm_ima_dk3: libav ADPCM IMA Duck DK3 decoder
libav:  avdec_adpcm_ima_dk4: libav ADPCM IMA Duck DK4 decoder
libav:  avdec_adpcm_ima_ea_eacs: libav ADPCM IMA Electronic Arts EACS decoder
libav:  avdec_adpcm_ima_ea_sead: libav ADPCM IMA Electronic Arts SEAD decoder
libav:  avdec_adpcm_ima_iss: libav ADPCM IMA Funcom ISS decoder
libav:  avdec_adpcm_ima_moflex: libav ADPCM IMA MobiClip MOFLEX decoder
libav:  avdec_adpcm_ima_mtf: libav ADPCM IMA Capcom's MT Framework decoder
libav:  avdec_adpcm_ima_oki: libav ADPCM IMA Dialogic OKI decoder
libav:  avdec_adpcm_ima_qt: libav ADPCM IMA QuickTime decoder
libav:  avdec_adpcm_ima_rad: libav ADPCM IMA Radical decoder
libav:  avdec_adpcm_ima_smjpeg: libav ADPCM IMA Loki SDL MJPEG decoder
libav:  avdec_adpcm_ima_ssi: libav ADPCM IMA Simon & Schuster Interactive decoder
libav:  avdec_adpcm_ima_wav: libav ADPCM IMA WAV decoder
libav:  avdec_adpcm_ima_ws: libav ADPCM IMA Westwood decoder
libav:  avdec_adpcm_ms: libav ADPCM Microsoft decoder
libav:  avdec_adpcm_mtaf: libav ADPCM MTAF decoder
libav:  avdec_adpcm_psx: libav ADPCM Playstation decoder
libav:  avdec_adpcm_sbpro_2: libav ADPCM Sound Blaster Pro 2-bit decoder
libav:  avdec_adpcm_sbpro_3: libav ADPCM Sound Blaster Pro 2.6-bit decoder
libav:  avdec_adpcm_sbpro_4: libav ADPCM Sound Blaster Pro 4-bit decoder
libav:  avdec_adpcm_swf: libav ADPCM Shockwave Flash decoder
libav:  avdec_adpcm_thp: libav ADPCM Nintendo THP decoder
libav:  avdec_adpcm_thp_le: libav ADPCM Nintendo THP (little-endian) decoder
libav:  avdec_adpcm_vima: libav LucasArts VIMA audio decoder
libav:  avdec_adpcm_xa: libav ADPCM CDROM XA decoder
libav:  avdec_adpcm_yamaha: libav ADPCM Yamaha decoder
libav:  avdec_adpcm_zork: libav ADPCM Zork decoder
libav:  avdec_agm: libav Amuse Graphics Movie decoder
libav:  avdec_aic: libav Apple Intermediate Codec decoder
libav:  avdec_alac: libav ALAC (Apple Lossless Audio Codec) decoder
libav:  avdec_alias_pix: libav Alias/Wavefront PIX image decoder
libav:  avdec_als: libav MPEG-4 Audio Lossless Coding (ALS) decoder
libav:  avdec_amrnb: libav AMR-NB (Adaptive Multi-Rate NarrowBand) decoder
libav:  avdec_amrwb: libav AMR-WB (Adaptive Multi-Rate WideBand) decoder
libav:  avdec_amv: libav AMV Video decoder
libav:  avdec_anm: libav Deluxe Paint Animation decoder
libav:  avdec_ansi: libav ASCII/ANSI art decoder
libav:  avdec_ape: libav Monkey's Audio decoder
libav:  avdec_apng: libav APNG (Animated Portable Network Graphics) image decoder
libav:  avdec_aptx: libav aptX (Audio Processing Technology for Bluetooth) decoder
libav:  avdec_aptx_hd: libav aptX HD (Audio Processing Technology for Bluetooth) decoder
libav:  avdec_arbc: libav Gryphon's Anim Compressor decoder
libav:  avdec_argo: libav Argonaut Games Video decoder
libav:  avdec_asv1: libav ASUS V1 decoder
libav:  avdec_asv2: libav ASUS V2 decoder
libav:  avdec_atrac1: libav ATRAC1 (Adaptive TRansform Acoustic Coding) decoder
libav:  avdec_atrac3: libav ATRAC3 (Adaptive TRansform Acoustic Coding 3) decoder
libav:  avdec_atrac3al: libav ATRAC3 AL (Adaptive TRansform Acoustic Coding 3 Advanced Lossless) decoder
libav:  avdec_atrac3plus: libav ATRAC3+ (Adaptive TRansform Acoustic Coding 3+) decoder
libav:  avdec_atrac3plusal: libav ATRAC3+ AL (Adaptive TRansform Acoustic Coding 3+ Advanced Lossless) decoder
libav:  avdec_atrac9: libav ATRAC9 (Adaptive TRansform Acoustic Coding 9) decoder
libav:  avdec_aura: libav Auravision AURA decoder
libav:  avdec_aura2: libav Auravision Aura 2 decoder
libav:  avdec_av1: libav Alliance for Open Media AV1 decoder
libav:  avdec_avrn: libav Avid AVI Codec decoder
libav:  avdec_avrp: libav Avid 1:1 10-bit RGB Packer decoder
libav:  avdec_avs: libav AVS (Audio Video Standard) video decoder
libav:  avdec_avui: libav Avid Meridien Uncompressed decoder
libav:  avdec_bethsoftvid: libav Bethesda VID video decoder
libav:  avdec_bfi: libav Brute Force & Ignorance decoder
libav:  avdec_binkaudio_dct: libav Bink Audio (DCT) decoder
libav:  avdec_binkaudio_rdft: libav Bink Audio (RDFT) decoder
libav:  avdec_binkvideo: libav Bink video decoder
libav:  avdec_bintext: libav Binary text decoder
libav:  avdec_bitpacked: libav Bitpacked decoder
